ID,Team,Ignore,Closed,City,Disciplines,Website,AlternateNames,UniqueKeywords
100,604 Project Racing,,,Vancouver,Road | CX | Gravel | Track,604project.com,,604 project
101,Altius Velo,,,Vancouver,Road,altiusvelo.com,,Altius
102,Analog Racing Team,,,Vancouver,Road | Gravel,www.analogracingteam.ca,,Analog Racing
103,Atomic Cycling Club,,,Vancouver,Road | Other,atomicracingyvr.com,"Atomic Racing Club,Atomic Racing",
104,Bayview Towing /CD Logistics,,,Langley,"Road, MTB",www.jbanracing.com,,
105,Bespoke Cycling Club,,,Vancouver,CX | Road | MTB XC,bespokecyclingclub.com/,,Bespoke
106,Bespoke Racing Team,,,Vancouver,Road | CX,bespokecyclingclub.com,,
107,Bici Squadra,,,Vancouver,Road | CX | Gravel | Track,bici.cc,Squadra bici,Squadra
108,Bicicletta Factory Racing,,X,Vancouver,Road | CX,,,
109,Big Grin Bikes,,,Qualicum Beach,Road | Gravel | CX | MTB XC | END,biggrinbikes.com,,
110,Black Bear Racing,,,Vancouver,Road | Gravel | Track | CX,blackbearracingteam.com,,Black Bear
111,Blueprint Athlete Development,,,Squamish,MTB DH | END | XC | Gravel | Road | Track | BMX | CX,blueprintathletedevelopment.com,,
112,Broad Street Cycles,,,Victoria,Road,broadstreetcycles.com,broad st cycles,Broad Street
113,Burnaby Velodrome Club,,,Burnaby,Track,burnabyvelodrome.ca,,Burnaby Velodrome
114,BV Velo,,,Smithers,Gravel | Road | CX,,,
115,CAP's Bike Club p/b Specialized,,,New Westminster,Road,CAP's Bikes | Facebook,,
116,Capital City Cycling,,,Victoria,Road | Track | CX | MTB XC | DH | END | Gravel | BMX | Other,www.instagram.com/capital_city_cycling,,
117,Charge Racing,,,Squamish,MTB XC | CX | Gravel | Road | Track,www.instagram.com/chargebcxcracing,Charge Racing Team,
118,Comox Valley Cycle Club,,,Comox Valley,Road | CX | Gravel,comoxvalleycycleclub.ca,,
119,Corsa Cycles / Dunbar Cycles,,,Vancouver,MTB DH | END | XC | Gravel | Road,dunbarcycles.com,,
120,Crit Nasty,,,Vancouver,Road | Track,www.instagram.com/critnastygirls,,Crit Nasty
121,CrossRoad Cycling Club,,,Vancouver,CX | Road,www.facebook.com/crossroadracing,,
122,Cycle Therapy Cycling Club,,,Duncan,Gravel | MTB END | XC | CX | Road | DH,cycletherapy.ca,,
123,Cycles West Racing Team,,,Victoria,Gravel | CX,cycleswest.ca,,
124,Day Time Cycling,,,Squamish,Road | Gravel MTB XC,www.daytimecycling.com,,Day Time
125,Diversion p/b Enroute.cc,,,Vancouver,Road | Gravel,enroute.cc,diversion,"Diversion,Enroute"
126,Element Race Team,,,Victoria,Road | MTB XC | Gravel,elementsportscoaching.com,,
127,ERIVAN Cycling Club,,,New Westminster,Road,instagram.com/erivan_cyclingteam,,
128,Escape Velocity/DEVO,,,Vancouver,Road | Cyclocross | Track | MTB XC,escapevelocity.bc.ca,"Escape velocity,devo club,ev racing team,ev racing,team devo,devo","Escape Velocity,DEVO,EV Racing"
129,EV Racing,X,,Vancouver,Road | CX,escapevelocity.bc.ca,,
130,FAMCY Racing Team,,,Vancouver,Road,famcy.ca,,FAMCY
131,Femme Fatale,,,Vancouver,Road,www.instagram.com/femmefatalecrit,femme fatale cycling team,Femme Fatale
132,Flying Gorilla Academy,,,North Vancouver,Track | Road,flyinggorilla.ca,,
133,Four Winds Racing,,,Delta,CX | Gravel | Road,https://fourwindsbrewing.ca,team discord p/b fourwinds,Four Winds
134,Fort Street Cycles,,,Victoria,Road,Charge Racing Team,,
135,Fraser River Fuggitivi (FRF),,,New Westminster,Road | CX | MTB XC,instagram.com/frfnewwest,,
136,Fresh Air Cycling Club,,,Kelowna,Road,freshair.ca,,
137,Future Racing Team,,,Vancouver,Road | Gravel | CX,www.instagram.com/future_bikeracing,,Future
138,Gastown Cycling Club,,,Vancouver,Road | Track | CX | Other,gastowncycling.com,,Gastown
139,GEN V Cycling Team,,,North Vancouver,Road | CX | MTB END | XC | Gravel,tagcycling.com,,
140,Global Relay Cycling Team,,,Vancouver,Road,globalrelay.com,,
141,Glotman Simpson Racing,,,Vancouver,Road | CX | Gravel | Track,glotmansimpsoncycling.ca,,Glotman
142,Groupo Cycling Club,,,Abbotsford,Road | Gravel,Groupo Strava,,
143,GRRR Cycling Club,,,North Vancouver,Road | Gravel,,,
144,Hopscyclists,,,Kelowna,Road,,Hopsyclists Cycling Club,
145,Isetta Race Team,,,West Vancouver,Road | Gravel | CX | MTB,Isetta Race Team,,Isetta
146,Jubilee Cycling Club,,,Burnaby,Track | Road | Gravel,jubileecycle.com,,
147,Just Giver 4PD,,,Vancouver,Road,justgiver4pd.com,,
148,Just Ride Your Bike,,,North Vancouver,Track | Road,,,
149,Kamloops Cycling Club,,,Kamloops,Gravel | MTB DH | END | XC | Road,www.kamloopscyclingclub.com,,
150,Kits Energy Team,,,Vancouver,Road,kitsenergy.com,,
151,Kwest Cycling Club,,,New Westminster,MTB XC | END | Road | Gravel | CX | Track,cyclingclubkwest.com,,
152,Lake City Cycle Club,,,Burnaby,Road,lakecitycycle.ca,,
153,Last Call Racing,,,Vancouver,Road,www.instagram.com/lastcallracing,,
154,Lost Boys Book Club,,,Vancouver,Road | Track,www.instagram.com/lostboyscrit,lost boys,Lost Boys
155,Lotus Cycling Club,,,Vancouver,Road,,,
156,Meraloma Racing,,,Vancouver,Road | Track | Other,meralomabikeclub.ca,"meraloma,meraloma bike club,meraloma racing",Meraloma
157,Mighty Cycling,,,Vancouver,Road,,www.mightyriders.ca,Mighty
