Team,City,Disciplines,Website
Action BMX Club,Surrey,BMX,actionbmx.ca
Atomic Cycling Club,Vancouver,Road | Other,atomicracingyvr.com
Bespoke Cycling Club,Vancouver,CX | Road | MTB XC,bespokecyclingclub.com/
Burnaby Velodrome Club,Burnaby,Track,burnabyvelodrome.ca
BV Velo,Smithers,Gravel | Road | CX,
Capital City Cycling,Victoria,Road | Track | CX | MTB XC | DH | END | Gravel | BMX | Other,www.instagram.com/capital_city_cycling
Comox Valley Cycle Club,Comox Valley,Road | CX | Gravel,comoxvalleycycleclub.ca
CrossRoad Cycling Club,Vancouver,CX | Road,www.facebook.com/crossroadracing
Cycle Therapy Cycling Club,Duncan,Gravel | MTB END | XC | CX | Road | DH,cycletherapy.ca
ERIVAN Cycling Club,New Westminster,Road,instagram.com/erivan_cyclingteam
Escape Velocity/DEVO,Vancouver,Road | Cyclocross | Track | MTB XC,escapevelocity.bc.ca
Fraser River Fuggitivi (FRF),New Westminster,Road | CX | MTB XC,instagram.com/frfnewwest
Fresh Air Cycling Club,Kelowna,Road,freshair.ca
Gastown Cycling Club,Vancouver,Road | Track | CX | Other,gastowncycling.com
Glotman Simpson Cycling,Vancouver,Road | CX | Track,glotmansimpsoncycling.ca
Groupo Cycling Club,Abbotsford,Road | Gravel,Groupo Strava
GRRR Cycling Club,North Vancouver,Road | Gravel,
Hopscyclists,Kelowna,Road,
Jubilee Cycling Club,Burnaby,Track | Road | Gravel,jubileecycle.com
Just Giver 4PD,Vancouver,Road,justgiver4pd.com
Kamloops Cycling Club,Kamloops,Gravel | MTB DH | END | XC | Road,www.kamloopscyclingclub.com
Lake City Cycle Club,Burnaby,Road,lakecitycycle.ca
Meraloma Racing,Vancouver,Road | Track | Other,meralomabikeclub.ca
North Okanagan Cycling Society Trail Ninjas,Vernon,MTB XC,nocs.ca
O2 Cycling Club,Victoria,Road | CX | Track,www.facebook.com/groups/O2.cycling
PMC Rides Club,Pitt Meadows,Road,pittcycle.com
Pro City Racing,Victoria,Gravel | CX | Road | MTB XC | END,trekbikesvictoria.com
Ride2Survive Cycling Club,Delta,Road,ride2survive.ca
Ridge Meadows BMX,Pitt Meadows,BMX,Ridge Meadows BMX | Facebook
River City Cycle Club,Campbell River,MTB XC | Road | CX,rivercitycycle.ca
Royal Blue Cycling Club,Langley,Road | Gravel,instagram.com/royalbluecyclingclub
Sidney Velo Cycling Club,Victoria,Road,sidneyvelo.ca
Squamish Cycling Club,Squamish,MTB,
Steveston Velo,Richmond,Road | CX | Track | Other,stevestonvelo.com
Team Coastal Cycling Club,Surrey,Road | Gravel,teamcoastalcycling.com
Tempo Cycling Club,Kelowna,Road | Gravel,tempokelowna.cc
TNRG Cycling Club,Sidney,Road | Gravel | CX,tnrg.ca
Tri-City Cycling Club,Port Moody,Road,tccyclingclub.com
Tripleshot Cycling Club,Victoria,Road | CX | Track | MTB XC | DH,tripleshotcycling.ca
United Velo,Surrey,Road | Gravel | CX,unitedvelo.ca
Vancouver Main Street Cycling,Vancouver,Road | Gravel,www.facebook.com/groups/1850842098510961/
Vancouver Velo Vets Cycling Club,Vancouver,Road,www.vancouvervelovets.org
Victoria Breakaway Cycling Club,Victoria,Road | CX | MTB XC | Gravel | Track,broadstreetcycles.com
Victoria Cycling League,Victoria,Road,victoriacyclingleague.com
Victoria Wheelers,Victoria,Road | CX,victoriawheelers.ca
VP R2R Cycling Club,Vancouver,Road,
Whistler Cycling Club,Whistler,Road | Other,whistlercyclingclub.ca
Whistler Mountain Ski Club,Whistler,MTB END | DH | XC | BMX,wmsc.info/mountain-bike-program-mtb
WOWride Cycling Club,Vancouver,Road | Gravel | CX,wowridecycling.com
