Team,City,Disciplines,Website
604 Project Racing,Vancouver,Road | CX | Gravel | Track,604project.com
Altius Velo,Vancouver,Road,altiusvelo.com
Analog Racing Team,Vancouver,Road | Gravel,www.analogracingteam.ca
Bayview Towing /CD Logistics,Langley,"Road, MTB",www.jbanracing.com
Bespoke Racing Team,Vancouver,Road | CX,bespokecyclingclub.com
Bici Squadra,Vancouver,Road | CX | Gravel | Track,bici.cc
Big Grin Bikes,Qualicum Beach,Road | Gravel | CX | MTB XC | END,biggrinbikes.com
Black Bear Racing,Vancouver,Road | Gravel | Track | CX,blackbearracingteam.com
Blueprint Athlete Development,Squamish,MTB DH | END | XC | Gravel | Road | Track | BMX | CX,blueprintathletedevelopment.com
C4 Racing powered by Norco & Corsa Cycles,Squamish,MTB DH,C4 Racing | Facebook
CAP's Bike Club p/b Specialized,New Westminster,Road,CAP's Bikes | Facebook
Charge Racing,Squamish,MTB XC | CX | Gravel | Road | Track,www.instagram.com/chargebcxcracing
Corsa Cycles / Dunbar Cycles,Vancouver,MTB DH | END | XC | Gravel | Road,dunbarcycles.com
Crit Nasty,Vancouver,Road | Track,www.instagram.com/critnastygirls
Cycles West Racing Team,Victoria,Gravel | CX,cycleswest.ca
Day Time Cycling,Squamish,Road | Gravel MTB XC,www.daytimecycling.com
Diversion p/b Enroute.cc,Vancouver,Road | Gravel,enroute.cc
Element Race Team,Victoria,Road | MTB XC | Gravel,elementsportscoaching.com
EV Racing,Vancouver,Road | CX,escapevelocity.bc.ca
FAMCY Racing Team,Vancouver,Road,famcy.ca
Femme Fatale,Vancouver,Road,www.instagram.com/femmefatalecrit
Flying Gorilla Academy,North Vancouver,Track | Road,flyinggorilla.ca
Four Winds Racing,Delta,CX | Gravel | Road,https://fourwindsbrewing.ca
Future Racing Team,Vancouver,Road | Gravel | CX,www.instagram.com/future_bikeracing
GEN V Cycling Team,North Vancouver,Road | CX | MTB END | XC | Gravel,tagcycling.com
Global Relay Cycling Team,Vancouver,Road,globalrelay.com
Glotman Simpson Racing,Vancouver,Road | CX | Gravel | Track,glotmansimpsoncycling.ca
GRAVITI DRIVEN,Kamloops,MTB DH,gravitidriven.com
Gravity MTB Racing Team,Comox,MTN DH | END,gravitymtb.ca
Instinct Development,Whistler,MTB DH,Instinct Development
Isetta Race Team,West Vancouver,Road | Gravel | CX | MTB,Isetta Race Team
Just Ride Your Bike,North Vancouver,Track | Road,
Kits Energy Team,Vancouver,Road,kitsenergy.com
Kwest Cycling Club,New Westminster,MTB XC | END | Road | Gravel | CX | Track,cyclingclubkwest.com
Lost Boys Book Club,Vancouver,Road | Track,www.instagram.com/lostboyscrit
Nolan Riding,Victoria,MTB END | DH | XC | CX,nolanriding.com/
Pink Bike Cycling,Victoria,Gravel | CX,pinkbikecycling.com
Pro City Racing,Victoria,CX | Road | Gravel | MTB XC | END,trekbikesvictoria.com
Project Instinct Cycling Team,Vancouver,Road | Gravel | Track,instinctracing.com
Red Kilo Cycling Team,Vancouver,Road | CX | Gravel | Track,www.instagram.com/red.kilo
RIDE OUTLAW,Duncan,MTB DH | END,ridemtb.ca
Rippers Lounge Racing,Vancouver,MTB DH | EDR,Rippers Lounge Racing | Facebook
Rock'n Roll Bikes,North Vancouver,MTB END,@rocknrollbikeclub | Instagram
Rowdy Racing,Parksville,MTB XC | END | DH | Gravel | CX,@rowdyraceclub | Instagram
Ruckus Racing,Vancouver,Road | CX | MTB DH | END | Road | Track | MTB XC,www.instagram.com/ruckusrcng
Samsara Cycle,Vancouver,Road | CX | Gravel | Track | MTB XC | DH | END,samsara-cycle.com
SJB Bears Mtn Bike Team,Abbotsford,MTB,SJB High School | Facebook
Sovereign Cycle,West Kelowna,MTB DH | END,sovereigncycle.com
Steed Cycles Racing Team,North Vancouver,Road | Gravel | MTB XC | END |,steedcycles.com
Team Codger,Delta,Road | Gravel,
Team Giant Vancouver,Vancouver,CX | MTB END | XC | Gravel | Road,boccyclingteam.com
Team Island Water,Vancouver,Road,www.instagram.com/pvrcycling
Team Squamish,Squamish,MTB END | DH,teamsquamishcycling.com
The Last Drop Cycling Club,Vancouver,Road | CX | Gravel | Road | Track | MTB XC,thelastdrop.cc
Trail Bicycles Cycling Team,Courtenay,MTB END | DH | CX | XC | Gravel | Road,trailbicycles.ca
Tru Grit Racing,Vancouver,Road | Gravel | MTB XC | Track | CX,www.instagram.com/tgracing_yvr
UBC Cycling Team,Vancouver,Road |,recreation.ubc.ca/sport-clubs/cycling-sc
ZEP Racing,Whistler,MTB DH | END,ZEP MTB Camps
